id;nazwa_wojewodztwa;kod_rynku;kod_branzy;liczba_pracownikow;zrodlo_rejestr;data_rejestracji;data_ostatnie_zamowienie;obecnosc_w_internecie;jakosc_strony_www;allegro;srednia_liczba_odslon;hurt;target_wartosc_sprzedazy
12259;œl¹skie;TYW;10001;21-50 osób;KRS;2002-01-01;2020-06-30;e-commerce;98;TAK;8 278;1;165550
56795;ma³opolskie;NSW;98;6-10 osób;KRS;2004-06-30;2020-08-28;ma stronê www;100;NIE;5 938;0;118759
12570;wielkopolskie;POW;10001;101-250 osób;KRS;2003-10-17;2020-10-08;ma stronê www;79;NIE;11 542;1;115420
13285;œl¹skie;TYW;755;2-5 osób;CEIDG;1994-02-25;2020-07-31;ma stronê www;70;TAK;5 400;0;108000
52504;zachodniopomorskie;SZW;755;6-10 osób;KRS;2015-08-31;2020-03-05;ma stronê www;79;NIE;5 206;0;104111
65103;mazowieckie;WAW;907;1 osoba;CEIDG;2009-07-07;2020-08-05;e-commerce;70;NIE;1 836;1;91778
71581;œl¹skie;KTW;1387;;CEIDG;2018-07-24;2020-09-16;ma stronê www;85;TAK;4 318;0;86364
25906;ma³opolskie;TRW;10001;6-10 osób;KRS;2005-05-16;2020-10-23;ma stronê www;98;NIE;4 195;0;83904
22750;dolnoœl¹skie;WRW;1387;101-250 osób;KRS;2008-05-28;2020-10-01;ma stronê www;89;NIE;7 719;0;77186
4259;lubelskie;LBW;755;2-5 osób;KRS;2000-02-01;2020-07-15;ma stronê www;72;NIE;3 668;1;73362
64361;œwiêtokrzyskie;KIW;1387;1 osoba;CEIDG;2017-09-27;2020-09-17;nie ma strony www;;TAK;;0;71712
5405;ma³opolskie;NSW;10001;6-10 osób;CEIDG;2002-07-31;2020-05-12;ma stronê www;89;NIE;3 382;0;67638
41681;dolnoœl¹skie;WBW;10001;101-250 osób;KRS;1992-02-28;2020-06-19;ma stronê www;89;NIE;6 727;1;67270
47828;œl¹skie;BBW;1433;101-250 osób;KRS;2015-09-07;2020-10-05;ma stronê www;78;TAK;3 323;0;66465
9173;mazowieckie;WAW;1433;101-250 osób;KRS;1993-01-01;2019-04-05;ma stronê www;98;NIE;6 390;1;63900
77292;œl¹skie;TYW;526;21-50 osób;CEIDG;2018-06-05;2019-06-25;ma stronê www;76;NIE;3 072;1;61430
30350;œl¹skie;RBW;1387;101-250 osób;KRS;2008-06-01;2018-05-18;e-commerce;93;TAK;5 994;1;59940
22736;mazowieckie;WAW;755;2-5 osób;CEIDG;1991-02-22;2020-09-04;ma stronê www;72;NIE;2 958;0;59160
42712;mazowieckie;GRW;1433;2-5 osób;CEIDG;2009-04-15;2019-09-23;ma stronê www;77;NIE;2 950;0;59000
80888;ma³opolskie;KRW;1387;21-50 osób;KRS;2019-10-14;2020-07-10;ma stronê www;93;NIE;2 910;1;58200
82242;mazowieckie;WAW;1386;101-250 osób;KRS;2020-03-19;2020-04-22;ma stronê www;89;NIE;2 902;1;58040
73810;ma³opolskie;KRW;848;;CEIDG;2007-04-02;2020-03-04;ma stronê www;96;NIE;2 902;1;58032
48176;pomorskie;GDW;1387;1 osoba;CEIDG;2000-12-01;2020-08-18;ma stronê www;83;NIE;1 136;0;56784
66444;mazowieckie;WAW;1574;6-10 osób;CEIDG;2006-08-11;2020-05-25;ma stronê www;98;TAK;2 838;1;56760
73502;œl¹skie;DGW;522;21-50 osób;KRS;2018-10-22;2020-01-20;ma stronê www;78;NIE;2 835;0;56700
49284;³ódzkie;PTW;522;51-100 osób;KRS;2014-07-03;2020-07-31;ma stronê www;92;NIE;2 824;1;56476
26769;œl¹skie;BBW;411;6-10 osób;CEIDG;1995-10-02;2020-04-21;ma stronê www;100;TAK;2 781;0;55620
9106;mazowieckie;WAW;1171;6-10 osób;CEIDG;1996-12-11;2020-10-23;ma stronê www;94;NIE;2 748;1;54960
83109;œwiêtokrzyskie;KIW;1387;;CEIDG;2020-07-22;2020-10-01;ma stronê www;98;NIE;2 743;0;54864
22415;œl¹skie;KTW;10001;6-10 osób;CEIDG;1997-02-03;2020-09-04;e-commerce;89;TAK;2 736;0;54720
43799;œl¹skie;KTW;98;1 osoba;KRS;2014-10-17;2020-04-29;ma stronê www;75;NIE;1 092;0;54612
73593;œwiêtokrzyskie;KIW;1387;;CEIDG;2018-12-01;2020-02-27;ma stronê www;97;NIE;2 702;0;54036
62612;lubuskie;GWW;652;101-250 osób;CEIDG;2017-06-01;2019-08-23;ma stronê www;99;NIE;2 688;1;53750
65206;œl¹skie;GLW;5;;KRS;2017-10-31;2020-03-06;e-commerce;73;TAK;2 684;1;53688
81675;kujawsko-pomorskie;BDW;652;1 osoba;CEIDG;2020-01-14;2020-06-10;ma stronê www;99;NIE;1 068;0;53400
37902;mazowieckie;WAW;755;;KRS;2006-01-23;2020-02-20;ma stronê www;79;NIE;2 620;1;52400
45986;mazowieckie;WAW;652;;CEIDG;2013-06-05;2019-11-22;ma stronê www;73;NIE;2 592;1;51848
6186;wielkopolskie;POW;10001;11-20 osób;KRS;1990-12-01;2020-06-01;ma stronê www;81;TAK;2 584;0;51672
72146;wielkopolskie;POW;10001;21-50 osób;KRS;2015-03-25;2018-08-30;ma stronê www;76;NIE;2 582;0;51640
83417;³ódzkie;PTW;652;51-100 osób;KRS;2020-09-23;2020-09-25;ma stronê www;71;NIE;2 557;0;51144
65473;dolnoœl¹skie;JGW;1574;2-5 osób;KRS;1995-12-21;2020-09-24;ma stronê www;75;NIE;2 520;1;50398
540;ma³opolskie;TRW;755;6-10 osób;CEIDG;1997-01-22;2019-10-24;ma stronê www;81;NIE;2 513;1;50256
76773;wielkopolskie;POW;652;;CEIDG;2019-01-09;2020-10-16;nie ma strony www;;TAK;;1;49032
81098;podlaskie;BIW;1387;2-5 osób;CEIDG;2015-06-13;2020-03-10;ma stronê www;94;NIE;2 448;0;48960
52608;mazowieckie;WAW;1386;1 osoba;KRS;2002-01-01;2020-02-18;e-commerce;81;NIE;972;1;48590
39004;³ódzkie;PTW;652;;CEIDG;2013-09-16;2020-09-14;ma stronê www;97;NIE;2 426;1;48528
81135;³ódzkie;LDW;1387;101-250 osób;KRS;2019-11-19;2020-02-28;ma stronê www;73;NIE;2 381;1;47610
80627;œl¹skie;GLW;526;;KRS;2017-04-21;2019-11-29;ma stronê www;98;TAK;2 348;0;46960
13364;zachodniopomorskie;SZW;755;2-5 osób;CEIDG;1993-07-13;2020-10-14;ma stronê www;97;NIE;2 333;1;46652
37842;dolnoœl¹skie;WRW;907;;CEIDG;2013-03-01;2019-06-11;ma stronê www;85;NIE;2 318;1;46350
81843;wielkopolskie;POW;5;51-100 osób;KRS;2015-09-02;2020-02-06;ma stronê www;78;TAK;2 239;1;44784
52656;wielkopolskie;POW;526;21-50 osób;KRS;2016-06-16;2020-06-05;ma stronê www;100;NIE;2 207;0;44140
36950;œl¹skie;KTW;1171;;CEIDG;2010-09-07;2020-06-02;ma stronê www;77;NIE;2 192;1;43848
16250;œl¹skie;DGW;755;2-5 osób;CEIDG;2004-02-25;2020-05-12;ma stronê www;74;NIE;2 170;1;43400
4629;³ódzkie;LDW;10001;2-5 osób;CEIDG;2000-08-14;2020-01-23;ma stronê www;80;NIE;2 169;1;43380
44791;œl¹skie;TYW;1387;51-100 osób;KRS;2014-02-01;2020-09-01;e-commerce;86;NIE;2 160;1;43200
53179;pomorskie;GDW;522;101-250 osób;KRS;2006-01-01;2018-08-06;ma stronê www;90;NIE;4 306;0;43056
53106;œl¹skie;RBW;755;2-5 osób;CEIDG;1996-12-01;2020-09-01;ma stronê www;70;NIE;2 138;1;42752
58518;œl¹skie;KTW;848;;CEIDG;2016-11-15;2020-08-31;ma stronê www;100;NIE;2 089;0;41772
